Date,Username,Name,Before Price,After Price,Link
19-11-2024 21:42:44,oddtrinkets,Suzuki Burgman 200 Low Mileage COE 8/9/26,"4,350","4,000",https://www.carousell.sg/p/suzuki-burgman-200-low-mileage-coe-8-9-26-1330381502/?t-id=mervpES6_R_1732023767007&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=hHz5X5uIQCmYBLnd&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=8
19-11-2024 21:42:44,griso,Suzuki Burgman 200,Not Slashed,"4,600",https://www.carousell.sg/p/suzuki-burgman-200-1335381219/?t-id=mervpES6_R_1732023767007&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=hHz5X5uIQCmYBLnd&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=9
19-11-2024 21:42:44,motorkia,Suzuki Burgman 200,Not Slashed,"5,800",https://www.carousell.sg/p/suzuki-burgman-200-1324643335/?t-id=mervpES6_R_1732023767007&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=hHz5X5uIQCmYBLnd&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=10
19-11-2024 21:42:44,dexingmotor,Burgman 200  $12.5k2015 coe 2034 D/P $500,"13,500","12,500",https://www.carousell.sg/p/burgman-200-12-5k2015-coe-2034-d-p-500-1317061983/?t-id=mervpES6_R_1732023767007&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=hHz5X5uIQCmYBLnd&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=11
19-11-2024 21:42:44,imonbluealert,Suzuki Burgman 200,"4,900","4,400",https://www.carousell.sg/p/suzuki-burgman-200-1334871910/?t-id=mervpES6_R_1732023767007&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=hHz5X5uIQCmYBLnd&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=12
19-11-2024 21:42:44,ride_culture,Honda PCX 150 Keyless New Model | Super Low Mileage | 1 Owner | Not Aerox Nmax ADV ADV150 Burgman,"8,500","8,000",https://www.carousell.sg/p/honda-pcx-150-keyless-new-model-super-low-mileage-1-owner-not-aerox-nmax-adv-adv150-burgman-1302816726/?t-id=mervpES6_R_1732023767007&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=hHz5X5uIQCmYBLnd&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=14
19-11-2024 21:42:44,teamthunder,Suzuki UH200AL5 BURGMAN 200 ABS Maxi Scooter,Not Slashed,"4,000",https://www.carousell.sg/p/suzuki-uh200al5-burgman-200-abs-maxi-scooter-1323855379/?t-id=mervpES6_R_1732023767007&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=hHz5X5uIQCmYBLnd&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=15
19-11-2024 21:42:44,worthyyyourmoney,Burgman 200 Suzuki,"5,000","4,500",https://www.carousell.sg/p/burgman-200-suzuki-1323672573/?t-id=mervpES6_R_1732023767007&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=hHz5X5uIQCmYBLnd&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=16
19-11-2024 21:42:44,2ndhanditemsforsalenow,Burgman 200 2017 September,Not Slashed,"8,000",https://www.carousell.sg/p/burgman-200-2017-september-1333971760/?t-id=mervpES6_R_1732023767007&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=hHz5X5uIQCmYBLnd&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=17
19-11-2024 21:42:44,atanmotoring,Suzuki Burgman UH200A (COE till Oct 2029),Not Slashed,"10,500",https://www.carousell.sg/p/suzuki-burgman-uh200a-coe-till-oct-2029-1333923136/?t-id=mervpES6_R_1732023767007&t-referrer_browse_type=search_results&t-referrer_filter_category=1595&t-referrer_filter_condition=USED&t-referrer_page_type=search&t-referrer_request_id=hHz5X5uIQCmYBLnd&t-referrer_search_query_source=ss_dropdown&t-referrer_sort_by=popular&t-tap_index=18
